order_item_id,order_id,product_id,quantity,discount_percentage,sales_amount,total_cost,profit
OI0000103,O000049,P0111,5,15,14183.61,12832.45,1351.16
OI0000104,O000049,P0079,5,10,163797.08,110177.25,53619.83
OI0000105,O000049,P0058,2,20,31028.75,22827.74,8201.01
OI0000106,O000050,P0159,3,5,16248.65,10432.05,5816.6
OI0000107,O000050,P0121,4,10,15548.22,10874.92,4673.3
OI0000108,O000050,P0027,2,25,86898.18,99917.28,-13019.1
OI0000109,O000051,P0120,3,5,3282.37,2662.8,619.57
OI0000110,O000051,P0002,5,0,39303.6,27391.25,11912.35
OI0000111,O000051,P0031,4,10,59591.84,38482.24,21109.6
OI0000112,O000051,P0030,2,10,22865.33,15623.1,7242.23
OI0000113,O000054,P0187,4,0,7110.84,4405.4,2705.44
OI0000114,O000054,P0215,5,5,2294.77,1438.9,855.87
OI0000115,O000055,P0105,5,15,102109.4,88726.25,13383.15
OI0000116,O000055,P0131,5,5,18601.9,12855.4,5746.5
OI0000117,O000055,P0142,1,10,63080.45,49171.92,13908.53
OI0000118,O000056,P0173,2,20,19836.21,17852.34,1983.87
OI0000119,O000056,P0155,5,5,21704.89,17588.05,4116.84
OI0000120,O000056,P0122,4,15,5236.2,4212.8,1023.4
OI0000121,O000057,P0213,2,25,16693.67,13191.52,3502.15
OI0000122,O000057,P0055,4,0,13737.96,8656.4,5081.56
OI0000123,O000057,P0243,4,0,10460.52,7493.28,2967.24
OI0000124,O000058,P0052,4,10,58977.79,37437.0,21540.79
OI0000125,O000058,P0039,3,10,13454.8,10797.54,2657.26
OI0000126,O000058,P0126,3,10,13855.75,11209.65,2646.1
OI0000127,O000058,P0102,5,5,3412.54,1986.7,1425.84
OI0000128,O000059,P0099,5,10,29074.81,24750.6,4324.21
OI0000129,O000059,P0159,4,10,20524.61,13909.4,6615.21
OI0000130,O000059,P0067,3,5,35007.49,29121.75,5885.74
OI0000131,O000059,P0210,2,0,7623.64,5954.68,1668.96
OI0000132,O000060,P0233,1,10,12670.62,11012.77,1657.85
OI0000133,O000060,P0065,2,0,5905.8,4497.68,1408.12
OI0000134,O000060,P0222,3,0,31329.03,22014.99,9314.04
OI0000135,O000060,P0082,4,0,61863.4,34135.24,27728.16
OI0000136,O000061,P0144,3,10,2259.85,1874.01,385.84
OI0000137,O000063,P0081,5,0,122594.4,97073.2,25521.2
OI0000138,O000063,P0225,1,0,16744.8,11198.92,5545.88
OI0000139,O000063,P0059,3,0,4494.06,3273.15,1220.91
OI0000140,O000063,P0165,1,15,51230.41,40453.33,10777.08
OI0000141,O000064,P0135,5,10,20272.91,15139.04,5133.87
OI0000142,O000064,P0002,5,5,37338.42,27391.25,9947.17
OI0000143,O000064,P0096,4,10,49652.5,35548.36,14104.14
OI0000144,O000064,P0059,2,10,2696.44,2182.1,514.34
OI0000145,O000066,P0064,4,10,11723.51,9649.04,2074.47
OI0000146,O000067,P0250,1,10,1577.17,1310.49,266.68
OI0000147,O000067,P0190,3,15,6625.33,4913.73,1711.6
OI0000148,O000067,P0135,1,5,4279.84,2703.4,1576.44
OI0000149,O000068,P0054,3,0,231139.74,143015.55,88124.19
OI0000150,O000068,P0015,1,10,5196.77,4358.3,838.47
OI0000151,O000068,P0248,4,0,9423.04,6779.64,2643.4
OI0000152,O000068,P0206,3,15,94998.87,80499.42,14499.45
OI0000153,O000069,P0027,2,5,110071.03,89211.86,20859.17
OI0000154,O000069,P0012,5,0,304137.5,241383.25,62754.25
OI0000155,O000069,P0206,5,5,176958.68,134165.7,42792.98
OI0000156,O000070,P0053,4,5,10276.8,7979.56,2297.24
OI0000157,O000070,P0052,4,0,65530.88,37437.0,28093.88
OI0000158,O000070,P0229,4,15,36798.74,33225.56,3573.18
OI0000159,O000070,P0075,1,0,523.54,289.2,234.34
OI0000160,O000071,P0232,2,15,7892.91,6638.74,1254.17
OI0000161,O000071,P0125,5,10,9283.32,7948.65,1334.67
OI0000162,O000072,P0029,2,15,5898.37,4265.38,1632.99
OI0000163,O000072,P0086,5,0,124026.1,89701.45,34324.65
OI0000164,O000072,P0153,1,0,14117.74,9838.27,4279.47
OI0000165,O000073,P0006,2,10,5772.64,4800.08,972.56
OI0000166,O000074,P0012,1,10,54744.75,48276.65,6468.1
OI0000167,O000074,P0124,5,5,2806.11,1972.15,833.96
OI0000168,O000074,P0206,4,0,149017.84,107332.56,41685.28
OI0000169,O000074,P0137,5,0,17435.95,10728.05,6707.9
OI0000170,O000075,P0122,2,5,2926.11,2106.4,819.71
OI0000171,O000075,P0145,2,15,8322.01,7621.38,700.63
OI0000172,O000075,P0163,1,5,10041.54,7794.71,2246.83
OI0000173,O000075,P0121,3,0,12956.85,8156.19,4800.66
OI0000174,O000076,P0115,3,10,28464.37,22055.51,6408.86
OI0000175,O000076,P0221,4,5,25562.9,17293.88,8269.02
OI0000176,O000076,P0168,2,15,19672.47,16648.6,3023.87
OI0000177,O000078,P0243,3,10,7060.85,5619.96,1440.89
OI0000178,O000079,P0105,2,15,40843.76,35490.5,5353.26
OI0000179,O000079,P0009,1,20,39982.95,32475.79,7507.16
OI0000180,O000080,P0086,1,5,23564.96,17940.29,5624.67
OI0000181,O000080,P0111,5,10,15017.94,12832.45,2185.49
OI0000182,O000080,P0194,1,20,1495.46,1161.49,333.97
OI0000183,O000080,P0121,5,0,21594.75,13593.65,8001.1
OI0000184,O000082,P0237,5,0,21284.3,13254.65,8029.65
OI0000185,O000082,P0025,2,5,25402.83,18880.72,6522.11
OI0000186,O000082,P0221,3,5,19172.18,12970.41,6201.77
OI0000187,O000082,P0056,5,5,170077.88,117037.6,53040.28
OI0000188,O000083,P0246,2,20,92425.86,88037.64,4388.22
OI0000189,O000083,P0173,2,5,23555.5,17852.34,5703.16
OI0000190,O000083,P0027,5,5,275177.57,223029.65,52147.92
OI0000191,O000084,P0235,1,5,60752.43,40493.11,20259.32
OI0000192,O000084,P0178,1,15,5767.68,4102.79,1664.89
OI0000193,O000084,P0130,4,15,2051.36,1595.52,455.84
OI0000194,O000085,P0031,4,0,66213.16,38482.24,27730.92
OI0000195,O000085,P0227,4,0,61934.64,40260.08,21674.56
OI0000196,O000085,P0008,4,5,79178.17,64477.24,14700.93
OI0000197,O000086,P0113,3,5,13468.87,10685.25,2783.62
OI0000198,O000086,P0136,2,15,34912.34,29609.14,5303.2
OI0000199,O000086,P0188,2,0,48287.46,26844.12,21443.34
OI0000200,O000087,P0119,3,10,100742.37,71908.8,28833.57
OI0000201,O000087,P0055,1,15,2919.32,2164.1,755.22
OI0000202,O000087,P0111,3,10,9010.76,7699.47,1311.29
OI0000203,O000089,P0048,1,0,3255.01,2410.07,844.94
OI0000204,O000089,P0132,4,10,27771.73,19077.8,8693.93
OI0000205,O000089,P0015,5,0,28870.95,21791.5,7079.45
OI0000206,O000089,P0158,4,15,37848.94,29587.04,8261.9
OI0000207,O000090,P0063,1,5,6088.23,3899.25,2188.98
OI0000208,O000090,P0190,5,5,12341.31,8189.55,4151.76
OI0000209,O000090,P0243,5,5,12421.87,9366.6,3055.27
OI0000210,O000091,P0243,1,10,2353.62,1873.32,480.3
OI0000211,O000091,P0067,5,20,49133.32,48536.25,597.07
OI0000212,O000091,P0069,5,0,24981.8,19001.4,5980.4
OI0000213,O000092,P0048,1,5,3092.26,2410.07,682.19
OI0000214,O000092,P0249,3,5,31458.13,20550.15,10907.98
OI0000215,O000093,P0040,5,15,9959.02,8527.1,1431.92
OI0000216,O000093,P0109,1,10,3755.91,3020.15,735.76
OI0000217,O000093,P0159,2,0,11402.56,6954.7,4447.86
OI0000218,O000094,P0231,2,10,8611.65,6416.08,2195.57
OI0000219,O000095,P0098,5,15,5563.04,3685.05,1877.99
OI0000220,O000095,P0051,2,20,20890.13,18978.74,1911.39
OI0000221,O000095,P0057,3,15,9114.72,6164.04,2950.68
OI0000222,O000095,P0006,4,5,12186.68,9600.16,2586.52
OI0000223,O000096,P0063,1,5,6088.23,3899.25,2188.98
OI0000224,O000097,P0206,3,10,100587.04,90159.35,10427.69
OI0000225,O000099,P0206,2,10,67058.03,53666.28,13391.75
OI0000226,O000101,P0237,1,0,4256.86,2650.93,1605.93
OI0000227,O000101,P0042,5,5,24641.81,14981.8,9660.01
OI0000228,O000103,P0143,3,0,88023.0,53374.74,34648.26
OI0000229,O000104,P0033,5,0,16972.5,12918.2,4054.3
OI0000230,O000104,P0052,1,15,13925.31,9359.25,4566.06
OI0000231,O000104,P0021,4,30,92482.85,109957.39,-17474.54
OI0000232,O000109,P0207,1,5,4503.33,3370.86,1132.47
OI0000233,O000109,P0233,1,25,10558.85,12334.3,-1775.45
OI0000234,O000110,P0146,2,20,2278.05,1841.26,436.79
OI0000235,O000111,P0233,3,0,42235.41,33038.31,9197.1
OI0000236,O000112,P0182,5,5,44287.72,32458.65,11829.07
OI0000237,O000112,P0115,4,10,37952.5,26256.56,11695.94
OI0000238,O000112,P0056,2,10,64450.57,46815.04,17635.53
OI0000239,O000113,P0070,3,10,2631.96,1998.9,633.06
OI0000240,O000113,P0213,3,0,33387.33,19787.28,13600.05
OI0000241,O000115,P0096,1,5,13102.74,8887.09,4215.65
OI0000242,O000116,P0038,5,20,181516.08,168970.2,12545.88
OI0000243,O000116,P0221,4,20,21526.66,17293.88,4232.78
OI0000244,O000116,P0174,2,10,8067.71,5028.9,3038.81
OI0000245,O000116,P0049,1,5,1705.32,1267.67,437.65
OI0000246,O000117,P0223,3,10,59041.17,42670.5,16370.67
OI0000247,O000117,P0093,4,15,220770.98,181326.4,39444.58
OI0000248,O000118,P0087,3,10,11985.0,7330.68,4654.32
OI0000249,O000120,P0014,5,0,10533.4,6956.05,3577.35
OI0000250,O000120,P0240,4,10,17071.34,14214.36,2856.98
OI0000251,O000121,P0217,5,5,12243.17,7979.85,4263.32
OI0000252,O000121,P0078,1,10,3805.11,3183.47,621.64
OI0000253,O000121,P0068,3,0,6768.72,5282.67,1486.05
OI0000254,O000123,P0132,5,10,34714.67,23847.25,10867.42
OI0000255,O000123,P0142,3,10,189241.35,131710.5,57530.85
OI0000256,O000123,P0073,5,10,80674.43,55419.15,25255.28
OI0000257,O000124,P0074,3,0,72022.86,45526.68,26496.18
OI0000258,O000124,P0105,3,0,72077.22,53235.75,18841.47
OI0000259,O000124,P0183,4,10,9419.11,7599.72,1819.39
OI0000260,O000125,P0089,5,10,12072.74,7523.55,4549.19
OI0000261,O000125,P0201,2,5,44754.31,37340.32,7413.99
OI0000262,O000125,P0091,3,5,14085.27,11825.19,2260.08
OI0000263,O000126,P0220,1,5,2561.54,2131.51,430.03
OI0000264,O000127,P0170,4,20,16322.43,15361.0,961.43
OI0000265,O000127,P0040,3,5,6678.41,5116.26,1562.15
OI0000266,O000128,P0161,3,5,10090.51,8484.84,1605.67
OI0000267,O000128,P0128,2,5,70277.75,45021.86,25255.89
OI0000268,O000128,P0240,1,0,4742.04,3553.59,1188.45
OI0000269,O000128,P0127,5,5,42404.25,31670.45,10733.8
OI0000270,O000129,P0189,2,5,26317.55,21515.5,4802.05
OI0000271,O000129,P0151,4,10,29802.85,22172.08,7630.77
OI0000272,O000129,P0208,1,5,12541.99,7808.45,4733.54
OI0000273,O000130,P0224,3,10,205627.57,168582.6,37044.97
OI0000274,O000130,P0085,3,5,195667.04,158644.92,37022.12
OI0000275,O000130,P0229,3,10,29222.53,24919.17,4303.36
OI0000276,O000131,P0119,1,5,35446.39,23969.6,11476.79
OI0000277,O000131,P0230,2,0,8049.48,5033.64,3015.84
OI0000278,O000131,P0068,5,5,10717.14,8804.45,1912.69
OI0000279,O000131,P0237,4,10,15324.7,10603.72,4720.98
OI0000280,O000132,P0031,5,0,82766.45,48102.8,34663.65
OI0000281,O000132,P0040,1,20,1874.64,1705.42,169.22
OI0000282,O000132,P0085,4,5,260889.38,211526.56,49362.82
OI0000283,O000132,P0094,3,10,33103.48,29046.48,4057.0
OI0000284,O000134,P0097,3,10,97714.59,76044.96,21669.63
OI0000285,O000135,P0234,2,5,32139.58,26654.74,5484.84
OI0000286,O000135,P0199,4,5,54734.59,38614.44,16120.15
OI0000287,O000136,P0207,3,30,9954.73,10112.58,-157.85
OI0000288,O000136,P0017,1,10,2576.39,1841.0,735.39
OI0000289,O000137,P0071,4,20,12083.33,8834.6,3248.73
OI0000290,O000137,P0027,1,0,57932.12,44605.93,13326.19
OI0000291,O000138,P0246,5,0,288830.8,220094.1,68736.7
OI0000292,O000138,P0094,3,5,34942.57,29046.48,5896.09
OI0000293,O000138,P0087,5,25,16645.84,12217.8,4428.04
OI0000294,O000139,P0237,2,25,6385.29,5301.86,1083.43
OI0000295,O000139,P0112,4,25,11201.58,9074.32,2127.26
OI0000296,O000139,P0206,2,0,74508.92,53666.28,20842.64
OI0000297,O000140,P0180,4,5,8679.01,6465.56,2213.45
OI0000298,O000140,P0249,1,10,9934.15,6850.05,3084.1
OI0000299,O000140,P0221,5,5,31953.63,21617.35,10336.28
OI0000300,O000140,P0196,1,5,3115.15,2405.99,709.16
OI0000301,O000141,P0008,5,5,98972.71,80596.55,18376.16
OI0000302,O000142,P0076,2,0,3353.32,2579.3,774.02
OI0000303,O000144,P0095,3,10,52847.48,41390.82,11456.66
OI0000304,O000146,P0197,5,5,61197.15,47650.95,13546.2
OI0000305,O000146,P0041,2,0,2441.36,1631.66,809.7
OI0000306,O000146,P0024,5,5,35960.78,25814.1,10146.68
OI0000307,O000147,P0200,5,10,24924.28,15260.45,9663.83
OI0000308,O000148,P0223,4,0,87468.4,56894.0,30574.4
OI0000309,O000148,P0018,5,25,16758.71,16499.0,259.71
OI0000310,O000149,P0166,1,0,38456.84,23834.99,14621.85
OI0000311,O000149,P0174,3,15,11429.25,7543.35,3885.9
OI0000312,O000149,P0007,5,0,9692.95,5375.05,4317.9
OI0000313,O000150,P0024,1,5,7192.16,5162.82,2029.34
OI0000314,O000151,P0045,2,5,6889.27,5473.56,1415.71
OI0000315,O000151,P0012,1,0,60827.5,48276.65,12550.85
OI0000316,O000152,P0176,2,10,6479.66,4601.6,1878.06
OI0000317,O000152,P0174,5,5,21289.79,12572.25,8717.54
OI0000318,O000153,P0151,1,10,7450.71,5543.02,1907.69
OI0000319,O000153,P0011,2,5,25217.52,19042.46,6175.06
OI0000320,O000153,P0048,4,5,12369.04,9640.28,2728.76
OI0000321,O000153,P0233,1,10,12670.62,11012.77,1657.85
OI0000322,O000154,P0136,3,25,46207.51,44413.71,1793.8
OI0000323,O000154,P0077,4,15,38039.61,39747.86,-1708.25
OI0000324,O000155,P0198,2,10,6638.24,4531.14,2107.1
OI0000325,O000155,P0116,3,20,2773.9,2153.31,620.59
OI0000326,O000155,P0111,2,10,6007.18,5132.98,874.2
OI0000327,O000155,P0104,5,0,4304.15,2414.7,1889.45
OI0000328,O000156,P0048,3,0,9765.03,7230.21,2534.82
OI0000329,O000157,P0112,2,10,6720.95,4537.16,2183.79
OI0000330,O000157,P0075,4,5,1989.45,1156.8,832.65
OI0000331,O000157,P0124,1,0,590.76,394.43,196.33
OI0000332,O000157,P0072,5,0,65083.25,48845.9,16237.35
OI0000333,O000158,P0195,5,15,24354.92,18334.85,6020.07
OI0000334,O000158,P0127,4,0,35708.84,25336.36,10372.48
OI0000335,O000159,P0133,5,5,19234.89,12953.65,6281.24
OI0000336,O000159,P0024,3,0,22712.07,15488.46,7223.61
OI0000337,O000159,P0175,5,0,253513.7,179023.35,74490.35
OI0000338,O000160,P0135,3,20,10812.22,8110.2,2702.02
OI0000339,O000160,P0115,3,5,30045.73,19692.42,10353.31
OI0000340,O000160,P0170,5,15,21678.23,19201.25,2476.98
OI0000341,O000160,P0023,5,10,319652.78,257568.25,62084.53
OI0000342,O000163,P0064,3,5,9281.11,7236.78,2044.33
OI0000343,O000163,P0024,4,5,28768.62,20651.28,8117.34
OI0000344,O000163,P0208,2,0,26404.18,15616.9,10787.28
OI0000345,O000164,P0003,4,15,41265.49,37420.2,3845.29
OI0000346,O000164,P0242,5,15,60230.57,53803.9,6426.67
OI0000347,O000164,P0040,5,20,9373.2,8527.1,846.1
OI0000348,O000165,P0069,4,5,18986.17,15201.12,3785.05
OI0000349,O000165,P0197,5,0,64418.05,47650.95,16767.1
OI0000350,O000165,P0245,1,10,1111.84,769.49,342.35
OI0000351,O000165,P0151,5,0,41392.85,27715.1,13677.75
OI0000352,O000166,P0148,2,0,7014.64,4714.92,2299.72
OI0000353,O000166,P0201,2,0,47109.8,37340.32,9769.48
OI0000354,O000167,P0036,2,20,2089.67,1714.62,375.05
OI0000355,O000167,P0048,2,5,6184.52,4820.14,1364.38
OI0000356,O000167,P0232,5,30,16250.11,16596.85,-346.74
OI0000357,O000167,P0014,1,40,1264.01,1391.21,-127.2
OI0000358,O000168,P0053,5,5,12845.99,9974.45,2871.54
OI0000359,O000169,P0181,3,5,13364.9,10156.02,3208.88
OI0000360,O000169,P0227,2,0,30967.32,20130.04,10837.28
OI0000361,O000169,P0134,3,15,41759.92,36673.47,5086.45
OI0000362,O000170,P0150,3,10,113952.8,75076.71,38876.09
OI0000363,O000170,P0099,4,10,23259.85,19800.48,3459.37
OI0000364,O000170,P0176,3,15,9179.52,6902.4,2277.12
OI0000365,O000171,P0129,1,0,4604.47,3502.2,1102.27
OI0000366,O000171,P0099,3,5,18414.05,14850.36,3563.69
OI0000367,O000171,P0144,2,20,1339.17,1249.34,89.83
OI0000368,O000171,P0174,4,10,16135.42,10057.8,6077.62
OI0000369,O000172,P0164,5,0,27522.85,15397.5,12125.35
OI0000370,O000172,P0066,4,20,18941.44,17651.2,1290.24
OI0000371,O000172,P0241,2,5,2405.93,1643.2,762.73
OI0000372,O000173,P0106,4,5,9324.1,6878.56,2445.54
OI0000373,O000173,P0028,3,15,6772.85,5004.45,1768.4
OI0000374,O000173,P0066,2,0,11838.4,8825.6,3012.8
OI0000375,O000174,P0039,5,5,23670.49,17995.9,5674.59
OI0000376,O000174,P0023,3,15,181136.57,173085.86,8050.71
OI0000377,O000174,P0176,1,15,3059.84,2300.8,759.04
OI0000378,O000175,P0013,3,0,7905.21,4677.99,3227.22
OI0000379,O000175,P0064,5,0,16282.65,12061.3,4221.35
OI0000380,O000176,P0172,1,15,11625.42,8206.13,3419.29
OI0000381,O000176,P0242,4,5,53853.22,43043.12,10810.1
OI0000382,O000176,P0169,1,0,10858.98,8395.86,2463.12
OI0000383,O000177,P0226,3,15,5793.63,4828.77,964.86
OI0000384,O000177,P0219,1,10,17908.93,11152.58,6756.35
OI0000385,O000177,P0141,2,35,2148.53,2189.84,-41.31
OI0000386,O000178,P0182,5,15,39625.85,32458.65,7167.2
OI0000387,O000178,P0145,4,20,15664.96,15242.76,422.2
OI0000388,O000179,P0182,4,10,33565.43,25966.92,7598.51
OI0000389,O000179,P0053,1,15,2298.76,1994.89,303.87
OI0000390,O000179,P0048,2,0,6510.02,4820.14,1689.88
OI0000391,O000179,P0219,5,0,99494.05,55762.9,43731.15
OI0000392,O000180,P0011,5,10,59725.71,47606.15,12119.56
OI0000393,O000180,P0236,1,10,1662.73,1436.49,226.24
OI0000394,O000180,P0191,4,0,305449.6,171976.28,133473.32
OI0000395,O000180,P0205,3,0,12042.36,6727.2,5315.16
OI0000396,O000181,P0136,3,5,58529.51,44413.71,14115.8
OI0000397,O000183,P0149,4,5,6203.16,4066.52,2136.64
OI0000398,O000183,P0213,5,0,55645.55,32978.8,22666.75
OI0000399,O000183,P0197,2,5,24478.86,19060.38,5418.48
OI0000400,O000185,P0090,5,5,16284.24,10782.9,5501.34
OI0000401,O000185,P0158,1,15,9462.23,7396.76,2065.47
OI0000402,O000187,P0082,5,15,65729.86,42669.05,23060.81
OI0000403,O000187,P0232,1,5,4410.75,3319.37,1091.38
OI0000404,O000190,P0161,4,5,13454.01,11313.12,2140.89
OI0000405,O000191,P0032,4,0,7308.44,4451.0,2857.44
OI0000406,O000191,P0057,5,15,15191.2,10273.4,4917.8
OI0000407,O000191,P0011,2,0,26544.76,19042.46,7502.3
OI0000408,O000193,P0074,2,15,40812.95,30351.12,10461.83
OI0000409,O000193,P0087,1,0,4438.89,2443.56,1995.33
OI0000410,O000193,P0206,4,0,149017.84,107332.56,41685.28
OI0000411,O000193,P0240,2,0,9484.08,7107.18,2376.9
OI0000412,O000195,P0022,2,15,125660.14,97315.14,28345.0
OI0000413,O000195,P0157,2,15,13597.04,11249.66,2347.38
OI0000414,O000196,P0106,4,5,9324.1,6878.56,2445.54
OI0000415,O000196,P0109,1,0,4173.23,3020.15,1153.08
OI0000416,O000198,P0103,4,25,124345.47,105917.12,18428.35
OI0000417,O000198,P0023,3,5,202446.76,154540.95,47905.81
OI0000418,O000199,P0196,3,5,9345.46,7217.97,2127.49
OI0000419,O000199,P0038,2,5,86220.14,67588.08,18632.06
OI0000420,O000199,P0065,2,20,4724.64,4497.68,226.96
OI0000421,O000199,P0117,2,5,40489.63,26062.16,14427.47
OI0000422,O000200,P0192,3,0,11278.41,8546.85,2731.56
OI0000423,O000200,P0015,1,20,4619.35,4358.3,261.05
