return_id,order_id,product_id,return_reason,return_date
R000081,O000444,P0014,Size/Fit Issue,2025-08-09
R000082,O000463,P0174,Size/Fit Issue,2025-04-18
R000083,O000474,P0238,Changed Mind,2025-11-04
R000084,O000491,P0233,Changed Mind,2024-05-16
R000085,O000498,P0055,Quality Not as Expected,2024-05-29
R000086,O000500,P0200,Size/Fit Issue,2024-11-16
R000087,O000503,P0185,Late Delivery,2024-02-28
R000088,O000506,P0037,Damaged Product,2024-06-03
R000089,O000506,P0077,Changed Mind,2024-06-09
R000090,O000508,P0071,Wrong Product Received,2025-07-21
R000091,O000522,P0171,Damaged Product,2024-04-26
R000092,O000522,P0119,Defective Product,2024-04-09
R000093,O000527,P0209,Late Delivery,2025-05-07
R000094,O000528,P0041,Defective Product,2025-04-21
R000095,O000529,P0212,Damaged Product,2024-07-08
R000096,O000531,P0099,Quality Not as Expected,2025-02-20
R000097,O000536,P0195,Size/Fit Issue,2024-08-16
R000098,O000540,P0174,Size/Fit Issue,2025-03-20
R000099,O000543,P0143,Defective Product,2025-01-30
R000100,O000545,P0156,Defective Product,2024-11-26
R000101,O000555,P0001,Late Delivery,2024-04-06
R000102,O000557,P0192,Size/Fit Issue,2025-09-14
R000103,O000560,P0172,Defective Product,2025-09-21
R000104,O000567,P0048,Changed Mind,2025-11-06
R000105,O000573,P0070,Damaged Product,2024-11-02
R000106,O000576,P0057,Wrong Product Received,2025-09-16
R000107,O000578,P0009,Quality Not as Expected,2025-03-15
R000108,O000579,P0171,Damaged Product,2024-12-05
R000109,O000580,P0193,Size/Fit Issue,2026-01-07
R000110,O000584,P0105,Damaged Product,2024-01-25
R000111,O000587,P0218,Changed Mind,2025-10-30
R000112,O000588,P0236,Quality Not as Expected,2025-05-03
R000113,O000591,P0191,Defective Product,2024-05-25
R000114,O000615,P0232,Quality Not as Expected,2025-03-26
R000115,O000626,P0206,Defective Product,2024-08-28
R000116,O000639,P0066,Size/Fit Issue,2025-09-02
R000117,O000642,P0122,Size/Fit Issue,2024-08-28
R000118,O000643,P0241,Wrong Product Received,2024-08-05
R000119,O000645,P0189,Damaged Product,2024-09-29
R000120,O000649,P0145,Quality Not as Expected,2025-04-15
R000121,O000653,P0118,Damaged Product,2025-07-02
R000122,O000659,P0180,Quality Not as Expected,2025-01-09
R000123,O000660,P0109,Size/Fit Issue,2024-01-21
R000124,O000662,P0043,Late Delivery,2024-02-04
R000125,O000666,P0093,Defective Product,2025-03-11
R000126,O000681,P0123,Quality Not as Expected,2024-01-29
R000127,O000682,P0067,Defective Product,2025-12-06
R000128,O000683,P0036,Late Delivery,2025-10-15
R000129,O000686,P0004,Changed Mind,2025-01-08
R000130,O000686,P0109,Changed Mind,2024-12-27
R000131,O000696,P0096,Quality Not as Expected,2024-06-05
R000132,O000699,P0217,Changed Mind,2025-10-19
R000133,O000701,P0196,Size/Fit Issue,2024-01-17
R000134,O000707,P0173,Defective Product,2025-01-10
R000135,O000720,P0041,Damaged Product,2025-10-03
R000136,O000728,P0131,Quality Not as Expected,2025-01-23
R000137,O000737,P0047,Damaged Product,2024-07-03
R000138,O000748,P0036,Size/Fit Issue,2025-02-05
R000139,O000770,P0124,Damaged Product,2024-07-25
R000140,O000772,P0125,Size/Fit Issue,2025-02-16
R000141,O000775,P0178,Quality Not as Expected,2024-08-19
R000142,O000776,P0107,Late Delivery,2024-06-12
R000143,O000784,P0190,Size/Fit Issue,2024-07-29
R000144,O000784,P0051,Late Delivery,2024-07-31
R000145,O000785,P0147,Defective Product,2025-07-10
R000146,O000786,P0035,Quality Not as Expected,2025-03-17
R000147,O000790,P0050,Size/Fit Issue,2026-01-22
R000148,O000803,P0181,Quality Not as Expected,2024-04-20
R000149,O000812,P0214,Damaged Product,2025-11-27
R000150,O000814,P0190,Changed Mind,2024-06-27
R000151,O000814,P0033,Damaged Product,2024-07-13
R000152,O000819,P0130,Size/Fit Issue,2025-03-01
R000153,O000822,P0238,Late Delivery,2024-01-24
R000154,O000825,P0185,Defective Product,2024-10-02
R000155,O000836,P0108,Quality Not as Expected,2025-12-31
R000156,O000837,P0215,Damaged Product,2024-08-11
R000157,O000840,P0184,Quality Not as Expected,2024-09-21
R000158,O000841,P0055,Damaged Product,2024-09-07
R000159,O000841,P0035,Damaged Product,2024-09-21
R000160,O000845,P0120,Changed Mind,2024-03-23
R000161,O000856,P0170,Size/Fit Issue,2025-10-25
R000162,O000863,P0180,Late Delivery,2025-10-26
R000163,O000865,P0131,Quality Not as Expected,2025-10-17
R000164,O000868,P0019,Quality Not as Expected,2025-09-18
R000165,O000884,P0180,Size/Fit Issue,2024-02-02
R000166,O000887,P0104,Changed Mind,2025-12-21
R000167,O000896,P0176,Late Delivery,2024-12-19
R000168,O000905,P0054,Quality Not as Expected,2024-02-21
R000169,O000909,P0027,Wrong Product Received,2025-11-19
R000170,O000913,P0219,Damaged Product,2025-05-08
R000171,O000918,P0148,Damaged Product,2025-04-26
R000172,O000922,P0213,Changed Mind,2024-01-12
R000173,O000964,P0185,Size/Fit Issue,2024-12-22
R000174,O000967,P0155,Defective Product,2024-05-12
R000175,O000969,P0053,Quality Not as Expected,2024-03-05
R000176,O000976,P0241,Damaged Product,2025-06-17
R000177,O000979,P0167,Quality Not as Expected,2024-09-03
R000178,O000982,P0026,Late Delivery,2025-03-08
R000179,O000984,P0095,Changed Mind,2024-05-13
R000180,O000999,P0038,Quality Not as Expected,2024-07-11
R000181,O001007,P0229,Damaged Product,2024-10-23
R000182,O001011,P0024,Size/Fit Issue,2025-12-30
R000183,O001013,P0086,Wrong Product Received,2025-09-25
R000184,O001015,P0058,Wrong Product Received,2024-10-07
R000185,O001017,P0171,Late Delivery,2025-06-20
R000186,O001024,P0006,Size/Fit Issue,2024-09-19
R000187,O001055,P0167,Defective Product,2025-10-15
R000188,O001059,P0247,Damaged Product,2024-11-10
R000189,O001061,P0095,Defective Product,2024-11-25
R000190,O001063,P0190,Wrong Product Received,2025-10-22
R000191,O001069,P0171,Defective Product,2024-01-29
R000192,O001074,P0203,Defective Product,2024-12-14
R000193,O001077,P0183,Late Delivery,2025-04-21
R000194,O001091,P0184,Size/Fit Issue,2024-05-27
R000195,O001091,P0075,Changed Mind,2024-05-27
R000196,O001101,P0179,Late Delivery,2024-08-14
R000197,O001102,P0070,Size/Fit Issue,2026-01-07
R000198,O001111,P0066,Defective Product,2025-11-22
R000199,O001114,P0075,Size/Fit Issue,2026-01-26
R000200,O001115,P0201,Defective Product,2024-07-09
R000201,O001118,P0003,Quality Not as Expected,2024-07-13
R000202,O001138,P0143,Damaged Product,2024-06-23
R000203,O001141,P0135,Defective Product,2024-10-30
R000204,O001151,P0250,Wrong Product Received,2025-08-22
R000205,O001151,P0051,Defective Product,2025-08-21
R000206,O001155,P0123,Late Delivery,2025-11-07
R000207,O001184,P0013,Late Delivery,2024-10-31
R000208,O001185,P0169,Defective Product,2025-08-22
R000209,O001192,P0150,Damaged Product,2025-02-12
R000210,O001206,P0109,Size/Fit Issue,2024-11-11
R000211,O001208,P0076,Damaged Product,2025-12-19
R000212,O001212,P0022,Quality Not as Expected,2024-02-01
R000213,O001217,P0086,Wrong Product Received,2024-12-23
R000214,O001233,P0099,Size/Fit Issue,2024-03-29
R000215,O001241,P0232,Changed Mind,2024-07-27
R000216,O001260,P0116,Defective Product,2024-06-14
R000217,O001260,P0064,Size/Fit Issue,2024-06-02
R000218,O001262,P0193,Damaged Product,2024-07-27
R000219,O001264,P0187,Changed Mind,2025-06-05
R000220,O001270,P0210,Wrong Product Received,2025-10-19
R000221,O001304,P0093,Changed Mind,2025-08-20
R000222,O001305,P0004,Defective Product,2025-07-26
R000223,O001310,P0013,Changed Mind,2024-02-03
R000224,O001314,P0191,Defective Product,2025-10-21
R000225,O001318,P0012,Quality Not as Expected,2024-11-18
R000226,O001325,P0114,Defective Product,2025-06-06
R000227,O001340,P0103,Changed Mind,2025-09-09
R000228,O001343,P0075,Size/Fit Issue,2025-01-19
R000229,O001346,P0026,Size/Fit Issue,2025-01-03
R000230,O001349,P0217,Changed Mind,2024-03-24
R000231,O001351,P0243,Damaged Product,2025-11-08
R000232,O001354,P0109,Damaged Product,2025-08-30
R000233,O001354,P0191,Wrong Product Received,2025-09-18
R000234,O001384,P0037,Late Delivery,2025-09-06
R000235,O001390,P0185,Changed Mind,2024-01-30
R000236,O001395,P0047,Late Delivery,2024-04-30
R000237,O001396,P0193,Defective Product,2024-05-18
R000238,O001397,P0213,Damaged Product,2024-10-04
R000239,O001402,P0206,Defective Product,2026-01-09
R000240,O001402,P0060,Size/Fit Issue,2026-01-07
R000241,O001407,P0167,Damaged Product,2024-11-22
R000242,O001408,P0234,Size/Fit Issue,2024-06-26
R000243,O001414,P0115,Late Delivery,2025-01-11
R000244,O001420,P0059,Quality Not as Expected,2025-12-01
R000245,O001421,P0125,Wrong Product Received,2024-09-20
R000246,O001422,P0014,Quality Not as Expected,2024-04-07
R000247,O001423,P0123,Quality Not as Expected,2024-05-31
R000248,O001432,P0022,Defective Product,2025-01-25
R000249,O001437,P0100,Wrong Product Received,2026-01-06
R000250,O001446,P0175,Defective Product,2024-12-24
R000251,O001450,P0042,Size/Fit Issue,2024-01-16
R000252,O001456,P0200,Damaged Product,2024-11-09
R000253,O001458,P0233,Defective Product,2024-04-10
R000254,O001464,P0033,Size/Fit Issue,2024-03-09
R000255,O001476,P0095,Wrong Product Received,2025-06-05
R000256,O001483,P0208,Quality Not as Expected,2025-04-17
R000257,O001485,P0127,Late Delivery,2025-02-02
R000258,O001498,P0068,Damaged Product,2025-10-07
R000259,O001499,P0022,Defective Product,2024-07-30
R000260,O001502,P0111,Defective Product,2025-12-26
R000261,O001509,P0227,Defective Product,2024-02-25
R000262,O001515,P0109,Damaged Product,2025-12-22
R000263,O001516,P0082,Late Delivery,2024-12-30
R000264,O001532,P0213,Quality Not as Expected,2025-12-08
R000265,O001533,P0013,Defective Product,2025-04-27
R000266,O001543,P0192,Size/Fit Issue,2024-03-30
R000267,O001552,P0032,Damaged Product,2025-11-19
R000268,O001560,P0093,Defective Product,2025-08-13
R000269,O001564,P0051,Defective Product,2025-12-16
R000270,O001575,P0125,Damaged Product,2025-09-14
R000271,O001583,P0228,Defective Product,2025-02-08
R000272,O001583,P0099,Defective Product,2025-02-12
R000273,O001591,P0019,Size/Fit Issue,2025-08-23
R000274,O001615,P0238,Quality Not as Expected,2025-03-05
R000275,O001623,P0004,Wrong Product Received,2024-08-30
R000276,O001626,P0097,Quality Not as Expected,2024-05-23
R000277,O001626,P0129,Quality Not as Expected,2024-05-28
R000278,O001627,P0171,Damaged Product,2025-10-20
R000279,O001642,P0189,Changed Mind,2025-06-17
R000280,O001651,P0185,Defective Product,2025-12-20
R000281,O001652,P0035,Changed Mind,2025-07-04
R000282,O001656,P0109,Size/Fit Issue,2025-07-13
R000283,O001657,P0184,Quality Not as Expected,2024-02-21
R000284,O001664,P0096,Defective Product,2025-07-24
R000285,O001664,P0165,Wrong Product Received,2025-07-13
R000286,O001670,P0214,Size/Fit Issue,2024-09-14
R000287,O001670,P0171,Defective Product,2024-09-11
R000288,O001683,P0017,Wrong Product Received,2025-12-09
R000289,O001691,P0059,Size/Fit Issue,2024-09-25
R000290,O001694,P0199,Changed Mind,2025-06-30
R000291,O001697,P0170,Quality Not as Expected,2024-07-15
R000292,O001708,P0198,Late Delivery,2024-11-23
R000293,O001714,P0119,Late Delivery,2025-03-25
R000294,O001725,P0028,Size/Fit Issue,2024-07-12
R000295,O001747,P0171,Quality Not as Expected,2024-02-17
R000296,O001749,P0083,Size/Fit Issue,2025-12-17
R000297,O001755,P0097,Defective Product,2025-02-03
R000298,O001757,P0158,Wrong Product Received,2025-07-13
R000299,O001768,P0085,Damaged Product,2025-05-19
R000300,O001770,P0212,Defective Product,2024-11-04
R000301,O001780,P0061,Damaged Product,2025-11-26
R000302,O001790,P0006,Changed Mind,2025-12-31
R000303,O001798,P0143,Defective Product,2025-02-24
R000304,O001806,P0137,Late Delivery,2025-12-08
R000305,O001810,P0104,Defective Product,2025-08-05
R000306,O001811,P0095,Late Delivery,2024-12-16
R000307,O001811,P0207,Changed Mind,2024-12-08
R000308,O001814,P0039,Late Delivery,2025-05-11
R000309,O001821,P0229,Changed Mind,2024-06-25
R000310,O001825,P0095,Changed Mind,2025-05-31
R000311,O001826,P0006,Wrong Product Received,2024-02-29
R000312,O001831,P0223,Damaged Product,2024-12-28
R000313,O001836,P0201,Late Delivery,2024-08-18
R000314,O001836,P0072,Defective Product,2024-08-23
R000315,O001838,P0144,Damaged Product,2025-06-05
R000316,O001840,P0205,Changed Mind,2025-09-05
R000317,O001842,P0178,Defective Product,2025-03-08
R000318,O001845,P0046,Defective Product,2025-06-10
R000319,O001852,P0143,Defective Product,2025-08-09
R000320,O001859,P0080,Quality Not as Expected,2025-12-15
R000321,O001859,P0056,Damaged Product,2025-12-28
R000322,O001861,P0127,Late Delivery,2025-06-24
R000323,O001871,P0040,Damaged Product,2025-02-15
R000324,O001874,P0041,Changed Mind,2024-12-29
R000325,O001874,P0010,Changed Mind,2024-12-26
R000326,O001889,P0175,Changed Mind,2024-06-06
R000327,O001901,P0025,Changed Mind,2025-01-10
R000328,O001906,P0056,Defective Product,2024-08-06
R000329,O001909,P0106,Damaged Product,2025-05-14
R000330,O001917,P0090,Quality Not as Expected,2024-08-25
R000331,O001919,P0035,Size/Fit Issue,2025-09-02
R000332,O001925,P0048,Changed Mind,2024-05-15
R000333,O001940,P0060,Wrong Product Received,2024-11-16
R000334,O001942,P0061,Late Delivery,2025-11-15
R000335,O001944,P0074,Wrong Product Received,2025-08-28
R000336,O001948,P0188,Damaged Product,2025-04-12
R000337,O001950,P0122,Changed Mind,2024-05-01
R000338,O001956,P0039,Late Delivery,2025-01-12
R000339,O001959,P0168,Late Delivery,2024-08-26
R000340,O001964,P0014,Damaged Product,2024-03-15
R000341,O001965,P0004,Damaged Product,2024-10-08
R000342,O001968,P0194,Changed Mind,2025-01-14
R000343,O001974,P0022,Wrong Product Received,2024-01-15
R000344,O001976,P0022,Changed Mind,2025-02-09
R000345,O001981,P0250,Damaged Product,2024-11-19
R000346,O001984,P0093,Damaged Product,2024-11-18
R000347,O001986,P0195,Size/Fit Issue,2024-10-26
R000348,O001991,P0185,Wrong Product Received,2025-04-10
R000349,O001992,P0041,Damaged Product,2024-03-04
R000350,O002012,P0006,Size/Fit Issue,2025-07-22
R000351,O002015,P0074,Size/Fit Issue,2025-07-10
R000352,O002020,P0071,Changed Mind,2024-11-13
R000353,O002020,P0218,Wrong Product Received,2024-11-17
R000354,O002028,P0172,Changed Mind,2025-12-20
R000355,O002028,P0237,Changed Mind,2025-12-23
R000356,O002031,P0133,Size/Fit Issue,2025-05-30
R000357,O002038,P0141,Size/Fit Issue,2024-05-07
R000358,O002042,P0049,Late Delivery,2025-06-16
R000359,O002045,P0133,Size/Fit Issue,2024-08-02
R000360,O002061,P0109,Quality Not as Expected,2025-04-15
R000361,O002076,P0217,Quality Not as Expected,2025-02-26
R000362,O002080,P0160,Quality Not as Expected,2025-04-27
R000363,O002087,P0048,Defective Product,2025-07-26
R000364,O002088,P0094,Defective Product,2025-11-19
R000365,O002095,P0174,Size/Fit Issue,2024-10-17
R000366,O002102,P0102,Changed Mind,2025-08-20
R000367,O002117,P0246,Damaged Product,2024-11-23
R000368,O002120,P0186,Changed Mind,2025-08-14
R000369,O002125,P0081,Quality Not as Expected,2024-06-11
R000370,O002141,P0102,Defective Product,2024-06-05
R000371,O002145,P0145,Wrong Product Received,2024-08-04
R000372,O002147,P0004,Changed Mind,2025-11-12
R000373,O002150,P0124,Late Delivery,2025-05-13
R000374,O002150,P0193,Size/Fit Issue,2025-05-08
R000375,O002159,P0101,Late Delivery,2024-03-29
R000376,O002182,P0090,Quality Not as Expected,2024-03-19
R000377,O002183,P0033,Changed Mind,2024-06-23
R000378,O002187,P0009,Defective Product,2024-11-08
R000379,O002192,P0179,Quality Not as Expected,2026-01-07
R000380,O002194,P0065,Quality Not as Expected,2025-01-29
R000381,O002199,P0192,Size/Fit Issue,2024-10-16
R000382,O002207,P0014,Size/Fit Issue,2024-10-19
R000383,O002216,P0168,Damaged Product,2025-10-06
R000384,O002218,P0093,Defective Product,2024-01-23
R000385,O002226,P0078,Changed Mind,2025-12-28
R000386,O002229,P0092,Changed Mind,2025-05-05
R000387,O002234,P0098,Quality Not as Expected,2025-07-11
R000388,O002242,P0198,Late Delivery,2025-06-18
R000389,O002247,P0014,Quality Not as Expected,2025-06-16
R000390,O002248,P0088,Defective Product,2024-06-03
R000391,O002249,P0074,Wrong Product Received,2024-01-18
R000392,O002254,P0090,Size/Fit Issue,2025-05-12
R000393,O002258,P0014,Quality Not as Expected,2025-10-15
R000394,O002260,P0065,Quality Not as Expected,2024-09-12
R000395,O002260,P0155,Changed Mind,2024-09-29
R000396,O002263,P0042,Late Delivery,2024-07-22
R000397,O002272,P0184,Damaged Product,2024-12-10
R000398,O002276,P0180,Wrong Product Received,2025-01-29
R000399,O002281,P0060,Wrong Product Received,2024-03-30
R000400,O002282,P0186,Late Delivery,2025-08-04
R000401,O002293,P0108,Defective Product,2025-09-26
R000402,O002296,P0233,Damaged Product,2025-01-29
R000403,O002301,P0017,Wrong Product Received,2024-03-14
R000404,O002306,P0041,Quality Not as Expected,2025-11-30
R000405,O002307,P0163,Late Delivery,2025-01-14
R000406,O002310,P0115,Defective Product,2025-01-02
R000407,O002315,P0240,Quality Not as Expected,2024-07-23
R000408,O002315,P0093,Damaged Product,2024-07-15
R000409,O002321,P0051,Damaged Product,2025-07-16
R000410,O002322,P0043,Size/Fit Issue,2024-04-06
R000411,O002328,P0224,Changed Mind,2026-01-16
R000412,O002333,P0009,Quality Not as Expected,2025-09-02
R000413,O002334,P0147,Defective Product,2024-08-22
R000414,O002336,P0004,Quality Not as Expected,2025-07-19
R000415,O002353,P0042,Size/Fit Issue,2024-09-22
R000416,O002360,P0177,Damaged Product,2025-05-04
R000417,O002365,P0176,Wrong Product Received,2025-12-23
R000418,O002370,P0233,Defective Product,2024-11-15
R000419,O002385,P0152,Wrong Product Received,2024-03-21
R000420,O002400,P0022,Defective Product,2025-08-14
R000421,O002409,P0107,Defective Product,2024-12-08
R000422,O002414,P0013,Wrong Product Received,2025-07-04
R000423,O002419,P0106,Changed Mind,2025-06-10
R000424,O002437,P0166,Late Delivery,2024-12-26
R000425,O002445,P0106,Wrong Product Received,2025-09-28
R000426,O002462,P0101,Damaged Product,2024-07-01
R000427,O002468,P0131,Damaged Product,2025-09-28
R000428,O002473,P0054,Late Delivery,2024-06-23
R000429,O002482,P0203,Quality Not as Expected,2025-12-24
R000430,O002483,P0067,Late Delivery,2025-11-13
R000431,O002501,P0190,Size/Fit Issue,2025-06-26
R000432,O002505,P0119,Wrong Product Received,2024-11-09
R000433,O002508,P0245,Damaged Product,2025-02-16
R000434,O002512,P0047,Size/Fit Issue,2025-07-04
R000435,O002519,P0247,Defective Product,2024-04-08
R000436,O002519,P0093,Defective Product,2024-04-11
R000437,O002521,P0104,Damaged Product,2024-09-17
R000438,O002532,P0031,Size/Fit Issue,2025-01-15
R000439,O002551,P0162,Late Delivery,2024-10-27
R000440,O002557,P0234,Late Delivery,2025-09-28
R000441,O002563,P0022,Late Delivery,2025-11-13
R000442,O002564,P0016,Changed Mind,2024-06-04
R000443,O002575,P0064,Size/Fit Issue,2024-10-14
R000444,O002581,P0133,Size/Fit Issue,2024-11-23
R000445,O002591,P0046,Quality Not as Expected,2024-05-29
R000446,O002591,P0007,Changed Mind,2024-05-26
R000447,O002599,P0199,Defective Product,2025-06-07
R000448,O002610,P0116,Wrong Product Received,2025-01-10
R000449,O002610,P0115,Damaged Product,2024-12-22
R000450,O002616,P0186,Size/Fit Issue,2024-04-08
R000451,O002618,P0234,Late Delivery,2025-06-07
R000452,O002630,P0180,Size/Fit Issue,2025-08-31
R000453,O002636,P0162,Defective Product,2025-01-15
R000454,O002636,P0164,Changed Mind,2025-01-15
R000455,O002652,P0152,Changed Mind,2024-12-06
R000456,O002652,P0046,Damaged Product,2024-11-21
R000457,O002657,P0043,Quality Not as Expected,2025-03-16
R000458,O002657,P0139,Damaged Product,2025-04-06
R000459,O002680,P0175,Late Delivery,2024-06-09
R000460,O002681,P0036,Quality Not as Expected,2025-11-17
R000461,O002687,P0170,Size/Fit Issue,2024-12-21
R000462,O002693,P0068,Quality Not as Expected,2025-04-02
R000463,O002696,P0149,Size/Fit Issue,2024-05-26
R000464,O002698,P0193,Changed Mind,2025-04-11
R000465,O002708,P0061,Defective Product,2025-03-18
R000466,O002713,P0119,Late Delivery,2024-07-18
R000467,O002714,P0250,Late Delivery,2024-09-05
R000468,O002717,P0238,Wrong Product Received,2025-12-29
R000469,O002723,P0171,Defective Product,2024-05-05
R000470,O002724,P0219,Wrong Product Received,2025-04-09
R000471,O002731,P0152,Damaged Product,2025-05-02
R000472,O002731,P0238,Late Delivery,2025-04-21
R000473,O002736,P0195,Defective Product,2024-03-27
R000474,O002741,P0191,Changed Mind,2024-02-18
R000475,O002749,P0170,Damaged Product,2025-05-09
R000476,O002756,P0084,Late Delivery,2025-08-06
R000477,O002766,P0030,Quality Not as Expected,2024-05-22
R000478,O002768,P0200,Size/Fit Issue,2025-01-04
R000479,O002778,P0238,Quality Not as Expected,2025-05-13
R000480,O002787,P0232,Late Delivery,2025-03-20
R000481,O002787,P0213,Defective Product,2025-03-28
R000482,O002794,P0066,Changed Mind,2024-11-27
R000483,O002798,P0171,Damaged Product,2025-09-19
R000484,O002812,P0174,Size/Fit Issue,2024-03-01
R000485,O002812,P0078,Size/Fit Issue,2024-03-05
R000486,O002820,P0193,Changed Mind,2024-08-24
R000487,O002821,P0084,Defective Product,2024-05-09
R000488,O002827,P0240,Changed Mind,2024-03-24
R000489,O002829,P0236,Late Delivery,2024-07-19
R000490,O002830,P0090,Damaged Product,2024-11-07
R000491,O002842,P0035,Size/Fit Issue,2025-10-17
R000492,O002842,P0230,Defective Product,2025-09-22
R000493,O002844,P0095,Changed Mind,2024-04-01
R000494,O002861,P0095,Defective Product,2024-06-03
R000495,O002863,P0201,Wrong Product Received,2025-09-29
R000496,O002870,P0020,Changed Mind,2025-11-22
R000497,O002872,P0092,Damaged Product,2024-12-03
R000498,O002873,P0029,Size/Fit Issue,2025-01-10
R000499,O002876,P0225,Changed Mind,2024-07-26
R000500,O002888,P0044,Wrong Product Received,2024-08-16
R000501,O002890,P0195,Damaged Product,2025-12-20
R000502,O002904,P0133,Quality Not as Expected,2024-10-23
R000503,O002908,P0065,Size/Fit Issue,2024-09-02
R000504,O002914,P0013,Defective Product,2026-01-03
R000505,O002917,P0197,Defective Product,2024-09-23
R000506,O002918,P0136,Defective Product,2025-06-02
R000507,O002921,P0049,Quality Not as Expected,2024-09-01
R000508,O002921,P0208,Defective Product,2024-09-23
R000509,O002933,P0240,Changed Mind,2024-05-13
R000510,O002939,P0191,Defective Product,2025-03-28
R000511,O002941,P0129,Damaged Product,2025-02-05
R000512,O002946,P0014,Quality Not as Expected,2025-06-21
R000513,O002958,P0004,Changed Mind,2025-07-09
R000514,O002964,P0218,Damaged Product,2025-12-16
R000515,O002970,P0145,Size/Fit Issue,2025-07-12
R000516,O002971,P0055,Size/Fit Issue,2025-03-17
R000517,O002980,P0203,Changed Mind,2025-02-27
